Frame,Violation,Details
5,Overspeeding,519.98 km/h
10,Overspeeding,874.67 km/h
10,Overspeeding,859.20 km/h
12,Overspeeding,897.67 km/h
32,Overspeeding,101.79 km/h
43,Overspeeding,402.87 km/h
44,Overspeeding,319.43 km/h
52,Overspeeding,593.62 km/h
53,Overspeeding,378.36 km/h
54,Overspeeding,283.12 km/h
55,Overspeeding,272.01 km/h
55,Overspeeding,87.94 km/h
56,Overspeeding,604.72 km/h
56,Overspeeding,636.13 km/h
58,Overspeeding,1013.19 km/h
58,Overspeeding,1020.61 km/h
59,Overspeeding,397.71 km/h
59,Overspeeding,1032.62 km/h
59,Overspeeding,377.45 km/h
60,Overspeeding,285.20 km/h
61,Overspeeding,299.05 km/h
61,Overspeeding,288.29 km/h
62,Overspeeding,614.81 km/h
62,Overspeeding,342.67 km/h
62,Overspeeding,306.13 km/h
63,Overspeeding,445.65 km/h
63,Overspeeding,423.64 km/h
64,Overspeeding,435.86 km/h
64,Overspeeding,444.77 km/h
67,Overspeeding,467.52 km/h
67,Overspeeding,456.35 km/h
67,Overspeeding,158.49 km/h
69,Overspeeding,467.52 km/h
69,Overspeeding,486.27 km/h
70,Overspeeding,553.88 km/h
70,Overspeeding,490.54 km/h
70,Overspeeding,384.65 km/h
71,Overspeeding,506.88 km/h
71,Overspeeding,483.81 km/h
72,Overspeeding,448.04 km/h
75,Overspeeding,525.13 km/h
75,Overspeeding,543.93 km/h
76,Overspeeding,547.95 km/h
76,Overspeeding,538.09 km/h
80,Overspeeding,71.83 km/h
82,Overspeeding,608.84 km/h
82,Overspeeding,620.50 km/h
84,Overspeeding,660.02 km/h
84,Overspeeding,637.87 km/h
90,Overspeeding,749.83 km/h
90,Overspeeding,784.77 km/h
91,Overspeeding,792.44 km/h
91,Overspeeding,779.77 km/h
93,Overspeeding,808.79 km/h
93,Overspeeding,836.89 km/h
101,Overspeeding,50.09 km/h
108,Overspeeding,853.75 km/h
108,Overspeeding,835.21 km/h
109,Overspeeding,849.69 km/h
109,Overspeeding,855.48 km/h
122,Overspeeding,302.54 km/h
122,Overspeeding,266.80 km/h
123,Overspeeding,840.63 km/h
123,Overspeeding,817.97 km/h
124,Overspeeding,835.03 km/h
124,Overspeeding,580.33 km/h
124,Overspeeding,294.79 km/h
124,Overspeeding,234.28 km/h
126,Overspeeding,279.41 km/h
129,Overspeeding,67.76 km/h
131,Overspeeding,170.86 km/h
133,Overspeeding,268.30 km/h
134,Overspeeding,402.76 km/h
134,Overspeeding,99.42 km/h
134,Overspeeding,72.13 km/h
135,Overspeeding,350.63 km/h
137,Overspeeding,131.73 km/h
138,Overspeeding,576.57 km/h
138,Overspeeding,106.75 km/h
139,Overspeeding,299.40 km/h
139,Overspeeding,143.37 km/h
139,Overspeeding,49.60 km/h
140,Overspeeding,331.17 km/h
140,Overspeeding,400.40 km/h
141,Overspeeding,401.80 km/h
142,Overspeeding,429.45 km/h
142,Overspeeding,294.90 km/h
143,Overspeeding,347.40 km/h
143,Overspeeding,306.53 km/h
144,Overspeeding,326.04 km/h
144,Overspeeding,362.52 km/h
144,Overspeeding,88.72 km/h
146,Overspeeding,96.17 km/h
147,Overspeeding,704.42 km/h
147,Overspeeding,335.34 km/h
148,Overspeeding,74.57 km/h
149,Overspeeding,198.69 km/h
150,Overspeeding,228.40 km/h
150,Overspeeding,175.96 km/h
151,Overspeeding,346.98 km/h
151,Overspeeding,209.71 km/h
152,Overspeeding,334.94 km/h
152,Overspeeding,352.23 km/h
153,Overspeeding,351.30 km/h
154,Overspeeding,474.68 km/h
155,Overspeeding,493.62 km/h
157,Overspeeding,497.46 km/h
159,Overspeeding,361.01 km/h
159,Overspeeding,257.30 km/h
161,Overspeeding,65.33 km/h
163,Overspeeding,399.47 km/h
163,Overspeeding,385.02 km/h
164,Overspeeding,436.05 km/h
164,Overspeeding,524.68 km/h
166,Overspeeding,552.65 km/h
166,Overspeeding,529.15 km/h
167,Overspeeding,537.32 km/h
167,Overspeeding,551.68 km/h
168,Overspeeding,280.58 km/h
169,Overspeeding,283.90 km/h
169,Overspeeding,434.17 km/h
169,Overspeeding,233.89 km/h
170,Overspeeding,472.84 km/h
171,Overspeeding,585.23 km/h
171,Overspeeding,570.49 km/h
171,Overspeeding,451.51 km/h
171,Overspeeding,478.51 km/h
172,Overspeeding,313.77 km/h
172,Overspeeding,836.38 km/h
172,Overspeeding,466.96 km/h
173,Overspeeding,583.74 km/h
173,Overspeeding,605.09 km/h
173,Overspeeding,314.51 km/h
175,Overspeeding,618.58 km/h
175,Overspeeding,610.69 km/h
176,Overspeeding,606.28 km/h
176,Overspeeding,324.98 km/h
176,Overspeeding,542.06 km/h
177,Overspeeding,649.84 km/h
177,Overspeeding,391.23 km/h
177,Overspeeding,526.39 km/h
177,Overspeeding,394.52 km/h
177,Overspeeding,69.83 km/h
178,Overspeeding,635.42 km/h
178,Overspeeding,937.38 km/h
178,Overspeeding,388.84 km/h
180,Overspeeding,691.01 km/h
180,Overspeeding,952.15 km/h
180,Overspeeding,361.94 km/h
180,Overspeeding,410.23 km/h
181,Overspeeding,411.67 km/h
181,Overspeeding,407.19 km/h
182,Overspeeding,669.80 km/h
182,Overspeeding,657.73 km/h
182,Overspeeding,373.97 km/h
183,Overspeeding,639.67 km/h
183,Overspeeding,670.31 km/h
184,Overspeeding,420.55 km/h
184,Overspeeding,658.80 km/h
185,Overspeeding,432.34 km/h
185,Overspeeding,416.72 km/h
188,Overspeeding,190.67 km/h
189,Overspeeding,438.15 km/h
189,Overspeeding,453.26 km/h
191,Overspeeding,528.92 km/h
194,Overspeeding,458.81 km/h
194,Overspeeding,469.68 km/h
195,Overspeeding,474.50 km/h
195,Overspeeding,458.76 km/h
197,Overspeeding,468.92 km/h
197,Overspeeding,479.47 km/h
197,Overspeeding,71.57 km/h
202,Overspeeding,493.80 km/h
202,Overspeeding,487.47 km/h
203,Overspeeding,484.95 km/h
203,Overspeeding,503.12 km/h
205,Overspeeding,512.73 km/h
205,Overspeeding,488.20 km/h
207,Overspeeding,504.16 km/h
207,Overspeeding,528.88 km/h
208,Overspeeding,523.00 km/h
208,Overspeeding,504.00 km/h
209,Overspeeding,507.61 km/h
209,Overspeeding,524.17 km/h
209,Overspeeding,44.06 km/h
210,Overspeeding,534.79 km/h
210,Overspeeding,502.32 km/h
210,Overspeeding,287.87 km/h
213,Overspeeding,529.40 km/h
213,Overspeeding,545.43 km/h
214,Overspeeding,329.68 km/h
216,Overspeeding,568.81 km/h
216,Overspeeding,547.70 km/h
